cue,target,category,firstL,cond,trigger_val,word_number,rs_eeg.thisRepN,rs_eeg.thisTrialN,rs_eeg.thisN,rs_eeg.thisIndex,Dropoff_phase.thisRepN,Dropoff_phase.thisTrialN,Dropoff_phase.thisN,Dropoff_phase.thisIndex,learning_test.thisRepN,learning_test.thisTrialN,learning_test.thisN,learning_test.thisIndex,Prac_rep.thisRepN,Prac_rep.thisTrialN,Prac_rep.thisN,Prac_rep.thisIndex,TNT_prac_loop.thisRepN,TNT_prac_loop.thisTrialN,TNT_prac_loop.thisN,TNT_prac_loop.thisIndex,TNTphase.thisRepN,TNTphase.thisTrialN,TNTphase.thisN,TNTphase.thisIndex,TNTPhase_block.thisRepN,TNTPhase_block.thisTrialN,TNTPhase_block.thisN,TNTPhase_block.thisIndex,random_test.thisRepN,random_test.thisTrialN,random_test.thisN,random_test.thisIndex,indepTest_trial.thisRepN,indepTest_trial.thisTrialN,indepTest_trial.thisN,indepTest_trial.thisIndex,indepTest_loop.thisRepN,indepTest_loop.thisTrialN,indepTest_loop.thisN,indepTest_loop.thisIndex,depTest_trial.thisRepN,depTest_trial.thisTrialN,depTest_trial.thisN,depTest_trial.thisIndex,depTest_loop.thisRepN,depTest_loop.thisTrialN,depTest_loop.thisN,depTest_loop.thisIndex,key_resp.keys,key_resp.rt,rs_instr_title.started,rs_instr_title.stopped,rs_instr_text.started,rs_instr_text.stopped,rs_instr_resptext.started,rs_instr_resptext.stopped,rs_instr_resp.keys,rs_instr_resp.rt,rs_instr_resp.started,rs_instr_resp.stopped,countdown_text.started,countdown_text.stopped,timer_text_5.started,timer_text_5.stopped,timer_text_4.started,timer_text_4.stopped,timer_text_3.started,timer_text_3.stopped,timer_text_2.started,timer_text_2.stopped,timer_text_1.started,timer_text_1.stopped,rs_fixation.started,rs_fixation.stopped,rsEo_begin.started,rsEo_begin.stopped,rsEO_end.started,rsEO_end.stopped,intDrop_resp.keys,intDrop_resp.rt,intDrop_resp2.keys,intDrop_resp2.rt,blank.started,blank.stopped,cue_stimili.started,cue_stimili.stopped,resp_drop.keys,resp_drop.started,resp_drop.stopped,drop_fdbk_4.started,drop_fdbk_4.stopped,drop_target2.started,drop_target2.stopped,resp_drop.rt,response,correct,LT_intro.started,LT_intro.stopped,LT_resp.keys,LT_resp.rt,start_recording.started,start_recording.stopped,fix600.started,fix600.stopped,variable_ISI.started,variable_ISI.stopped,fix_trigger.started,fix_trigger.stopped,say_instru.started,say_instru.stopped,WordPairs_all.started,WordPairs_all.stopped,LearningTest.keys,LearningTest.corr,LearningTest.rt,LearningTest.started,LearningTest.stopped,condition1,condition2,condition3,StudyTest_trigger.started,StudyTest_trigger.stopped,StudyTest_WordNumber.started,StudyTest_WordNumber.stopped,phase1_continue.started,phase1_continue.stopped,key_resp_2.keys,key_resp_2.rt,TNT_intro.started,TNT_intro.stopped,resp_intro2.keys,resp_intro2.rt,resp_intro2.started,resp_intro2.stopped,TNT_intro_2.started,TNT_intro_2.stopped,resp_intro2_2.keys,resp_intro2_2.rt,resp_intro2_2.started,resp_intro2_2.stopped,cue,ratePrac_instruText.started,ratePrac_instruText.stopped,ratePrac_text.started,ratePrac_text.stopped,ratePrac_resp.keys,ratePrac_resp.started,ratePrac_resp.stopped,ratePrac_resp.rt,prc_qs_text.started,prc_qs_text.stopped,qs_resp1.keys,qs_resp1.rt,qs_resp1.started,qs_resp1.stopped,prc_qs_text2.started,prc_qs_text2.stopped,qs_resp2.keys,qs_resp2.rt,qs_resp2.started,qs_resp2.stopped,prc_qs_text3.started,prc_qs_text3.stopped,qs_resp3.keys,qs_resp3.rt,qs_resp3.started,qs_resp3.stopped,prc_end.started,prc_end.stopped,prc_end_resp.keys,prc_end_resp.rt,prc_end_resp.started,prc_end_resp.stopped,prc_end2.started,prc_end2.stopped,prc_end_resp2.keys,prc_end_resp2.rt,prc_end_resp2.started,prc_end_resp2.stopped,fmIntro_txt.started,fmIntro_txt.stopped,fmIntro_resp.keys,fmIntro_resp.rt,fmIntro_resp.started,fmIntro_resp.stopped,fmIntro_txt2.started,fmIntro_txt2.stopped,fmIntro_resp2.keys,fmIntro_resp2.rt,fmIntro_resp2.started,fmIntro_resp2.stopped,color,cond,target,TNT_trigger.started,TNT_trigger.stopped,pair_mark.started,pair_mark.stopped,break20s.started,break20s.stopped,BreakIntro.started,BreakIntro.stopped,BreakEnd.keys,BreakEnd.rt,BreakEnd.started,BreakEnd.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,say_intru_IT.started,say_intru_IT.stopped,IT_screen.started,IT_screen.stopped,IT_resp.keys,IT_resp.corr,IT_resp.started,IT_resp.stopped,IT_trigger.started,IT_trigger.stopped,IT_WordNumber.started,IT_WordNumber.stopped,IT_resp.rt,intro_ind.started,intro_ind.stopped,key_resp_ind.keys,key_resp_ind.rt,key_resp_ind.started,key_resp_ind.stopped,say_instruDT.started,say_instruDT.stopped,DT_screen.started,DT_screen.stopped,DT_resp.keys,DT_resp.corr,DT_resp.started,DT_resp.stopped,DT_trigger.started,DT_trigger.stopped,DT_WordNumber.started,DT_WordNumber.stopped,DT_resp.rt,taskend.started,taskend.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.started,key_resp_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.83439128412283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0857,TNT_phase23,2021.2.2,119.88835731420716,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.446133255011773,None,23.446133255011773,None,23.446133255011773,None,space,0.4926300639535839,23.446133255011773,None,23.962814506297036,None,23.962814506297036,24.962893290401553,24.946215510447473,25.9463425913209,25.9463425913209,26.94639511405785,26.94639511405785,27.94641684760336,27.94641684760336,28.94656717129783,28.963266986653252,None,0.006702142655740317,0.10508386884885113,328.9549373032478,329.05502752764914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0857,TNT_phase23,2021.2.2,119.88835731420716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.566726363485941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0857,TNT_phase23,2021.2.2,119.88835731420716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.631277712157498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0857,TNT_phase23,2021.2.2,119.88835731420716,
sand,leaves,plant,l,cond1,101,17,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.2394538722083,342.73943289329964,342.7311010969106,None,None,342.7311010969106,None,347.7898438535267,348.79000806254226,348.7816629845411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cond1,leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0857,TNT_phase23,2021.2.2,119.88835731420716,
soldier,bean,vegetable,b,cond1,101,11,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.74016036338526,351.24019432205114,351.23186554420954,None,f,351.23186554420954,None,354.01543081774616,355.0155056777385,355.0071186419191,None,2.7347601808833133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soldier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cond1,bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0857,TNT_phase23,2021.2.2,119.88835731420716,
jeep,tub,NA,NA,prac2,104,198,,,,,0,2,2,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.03235460936867,357.5323236692502,357.52406461986993,None,f,357.52406461986993,None,360.3576405941594,361.3576466312552,361.3493721872792,None,2.794401257406207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac2,tub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0857,TNT_phase23,2021.2.2,119.88835731420716,
poster,butter,dairy,b,cond2,102,36,,,,,0,3,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.3745426522355,363.87459774073795,363.86626262394566,None,f,363.86626262394566,None,365.3080223046554,366.308048264169,366.29976597196855,None,1.3960965947462682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cond2,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0857,TNT_phase23,2021.2.2,119.88835731420716,
bike,zoo,facility,z,cond2,102,39,,,,,0,4,4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.3249826207093,368.82500963671464,368.8166724069388,None,f,368.8166724069388,None,371.6919629044596,372.6919909769558,372.6836555583095,None,2.829536251403624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cond2,zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0857,TNT_phase23,2021.2.2,119.88835731420716,
oyster,umbrella,tool,u,cond1,101,26,,,,,0,5,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.7087713875453,375.2088699431397,375.20053452449247,None,f,375.20053452449247,None,376.8173506746907,377.8174204031511,377.80908830490716,None,1.581523889845812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oyster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cond1,umbrella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2013_Jan_22_0857,TNT_phase23,2021.2.2,119.88835731420716,
