"subj","learn_test_all","learn_test_cond1","learn_test_cond2","learn_test_cond3","learn_test_prac","aware_cond1","aware_cond2","aware_cond3","sp_test_cond1","sp_test_cond2","sp_test_cond3","dp_test_cond1","dp_test_cond2","dp_test_cond2.1"
1001,0.85,0.845833333333333,0.725,0.90625,0.966666666666667,NA,NA,NA,0.9375,0.9375,0.9375,NA,NA,NA
1002,0.758620689655172,0.8125,0.75,0.8125,0.6,NA,NA,NA,0.8125,0.8125,0.8125,NA,NA,NA
1003,0.810344827586207,0.75,0.875,0.8125,0.8,NA,NA,NA,0.75,0.75,0.75,NA,NA,NA
1005,0.879310344827586,0.875,0.8125,0.9375,0.9,NA,NA,NA,0.875,0.875,0.875,NA,NA,NA
1006,0.931034482758621,0.9375,0.9375,0.875,1,NA,NA,NA,0.875,0.875,0.875,NA,NA,NA
1008,0.827586206896552,0.875,0.75,0.75,1,NA,NA,NA,0.9375,0.9375,0.9375,NA,NA,NA
1009,0.413793103448276,0.5625,0.25,0.5,0.3,NA,NA,NA,0.625,0.625,0.625,NA,NA,NA
1010,0.741379310344828,0.875,0.625,0.75,0.7,NA,NA,NA,0.6875,0.6875,0.6875,NA,NA,NA
1011,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA
1012,0.896551724137931,1,0.75,0.875,1,NA,NA,NA,0.8125,0.8125,0.8125,NA,NA,NA
1013,0.896551724137931,0.8125,0.875,0.9375,1,NA,NA,NA,1,1,1,NA,NA,NA
1014,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA
1015,0.96551724137931,1,1,0.9375,0.9,NA,NA,NA,1,1,1,NA,NA,NA
1016,0.931034482758621,0.75,1,1,1,NA,NA,NA,0.8125,0.8125,0.8125,NA,NA,NA
1017,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA
1018,0.982758620689655,1,1,0.9375,1,NA,NA,NA,1,1,1,NA,NA,NA
1019,0.741379310344828,0.8125,0.875,0.625,0.6,NA,NA,NA,0.8125,0.8125,0.8125,NA,NA,NA
1020,0.931034482758621,1,0.875,0.9375,0.9,NA,NA,NA,0.875,0.875,0.875,NA,NA,NA
1021,0.931034482758621,0.9375,0.875,0.9375,1,NA,NA,NA,0.5,0.5,0.5,NA,NA,NA
1022,0.948275862068966,1,0.875,0.9375,1,NA,NA,NA,0.875,0.875,0.875,NA,NA,NA
1023,0.982758620689655,1,0.9375,1,1,NA,NA,NA,1,1,1,NA,NA,NA
1024,0.896551724137931,0.875,0.8125,1,0.9,NA,NA,NA,0.9375,0.9375,0.9375,NA,NA,NA
1025,0.913793103448276,1,0.875,0.875,0.9,NA,NA,NA,1,1,1,NA,NA,NA
1026,1,1,1,1,1,NA,NA,NA,0.9375,0.9375,0.9375,NA,NA,NA
